category;description;domain;relevance;brandability
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Lighthouse;4;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Chartwell;2;4
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Guidinglight;3;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Beaconwise;3;3
abstract/creative;We are the lighthouse in a sea of data, guiding your brand toward the shores of untapped potential.;Safehaven;1;1
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Frameup;1;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Contentcraft;4;4
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Streamwell;1;3
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Vlogify;4;3
abstract/creative;We are your north star in overcoming all the peculiarities of becoming a vlogger.;Viewpoint;1;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;Assistify;4;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;OutsourceHub;4;4
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;LinguaTask;4;2
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;TaskMate;3;2
ambiguous; Service where you can outsource random tasks you don't have time for and also offers language lessons.;TaskLingua;4;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;RoadsideTax;5;5
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;DealMark;1;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;Wheelmark;1;4
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;TireMark;3;3
ambiguous;Exclusive affordable luxury tax consulting and used car tire sales with no-strings-attached lifetime commitments.;TaxTirePro;4;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;GourmetGadget;2;3
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;StyleBoutique;1;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;HauteTable;3;4
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;LuxeBite;2;1
ambiguous;High-end budget fashion and luxury electronics with occasional catering services;CoutureCircuit;4;4
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;Hearthmark;4;4
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;TerraTable;4;4
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;GreenBowlStudio;4;2
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;EmberCeramics;4;3
clear/specific;A local business selling handmade cups, plates, and incense. Committed to sustainability and ethical practices.;EarthwareCo;4;3
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;FreshStartServices;5;5
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;SpotlessHomes;5;4
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;MoveOutMasters;5;3
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;CleanHaven;2;1
clear/specific;A professional residential cleaning service specializing in weekly deep-cleans and move-out sanitization.;DeepCleanPro;4;1
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;RiseHouse;4;4
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;Grainwell;2;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;HearthBread;3;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;DailyCrust;3;3
clear/specific;Family-owned bakery specializing in fresh sourdough bread and pastries made daily from organic ingredients;Flourwell;3;3
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";KaunasKebap;2;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";GünBakir;2;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";DainavaDolma;2;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";KaunasKofte;2;1
local;" An authentic Turkish lunch place offering homemade sarma, dolma, and kısır. Provides ""gün"" style meals. Based in Dainava, Kaunas.";DainavaBazaar;2;1
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;Crustapart;4;5
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;Doughwell;2;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;CasaPizzaiola;4;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;Pizzapassione;4;3
local;A family-run pizzeria in Naples using century-old recipes and locally milled flour.;FlourMark;3;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;KappoShibuya;3;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;IkiIkiTokyo;2;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;SushiKaiTokyo;2;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;KaitoBar;2;3
local;Traditional izakaya serving Hokkaido-style grilled fish near Shibuya Crossing in Tokyo;GrilledFishTokyo;3;2
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;TierraDeDiseño;4;4
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;FiestaDeModa;3;2
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;CulturaBoutique;3;1
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;AzulVestido;3;4
mixed language;A fashion boutique offering haute couture dresses con detalles inspirados en la cultura mexicana.;MexiCouture;3;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;BreatheWell;3;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;Kalmi;5;4
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;NidraFlow;3;2
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;PranaRest;3;3
mixed language;A yoga studio that offers pranayama exercises paired with deep rest using Yoga Nidra techniques.;Restify;3;3
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;BellaVita;1;1
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;PastaPiazza;3;1
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;BellaPiazza;3;1
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;PiazzaBella;3;1
mixed language;An upscale ristorante offering handmade tagliatelle and aperitivo pairings in a modern piazza setting.;TagliatelleClub;4;1
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;CozyCup;4;4
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;PainAuChocolat;3;1
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;CaféCouture;3;2
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;Paucaf;4;5
mixed language;Boutique café offering specialty coffee and authentic pain au chocolat in a cozy ambiente;MaisonBrew;4;3
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;PrecisionGen;4;5
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;GenEdit;4;4
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;EditaBio;4;4
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;Genixa;4;5
niche/technical;A biotech firm specializing in CRISPR gene-editing therapies for rare hereditary diseases.;Curegen;4;5
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;HighFPGA;2;2
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;AccelerateTrading;4;5
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;FPGATrade;4;2
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;TradeFusion;4;3
niche/technical;Providing field-programmable gate array (FPGA) acceleration services for high-frequency algorithmic trading platforms.;CatalystFPGA;3;2